id,round,date,home_team,tf,away_team,home_score,away_score
310,31,Mon Apr 12 2021,Brighton,0–0,Everton,0,0
311,32,Fri Apr 16 2021,Everton,2–2,Tottenham,2,2
312,32,Sat Apr 17 2021,Newcastle Utd,3–2,West Ham,3,2
313,32,Sat Apr 17 2021,Wolves,1–0,Sheffield Utd,1,0
314,32,Sun Apr 18 2021,Arsenal,1–1,Fulham,1,1
315,32,Sun Apr 18 2021,Manchester Utd,3–1,Burnley,3,1
316,32,Mon Apr 19 2021,Leeds United,1–1,Liverpool,1,1
317,32,Tue Apr 20 2021,Chelsea,0–0,Brighton,0,0
318,32,Wed Apr 21 2021,Aston Villa,1–2,Manchester City,1,2
319,32,Thu Apr 22 2021,Leicester City,3–0,West Brom,3,0
320,32,Tue May 11 2021(P),Southampton,3–1,Crystal Palace,3,1
321,33,Thu Mar 04 2021,Fulham,0–1,Tottenham,0,1
322,33,Wed Mar 10 2021,Manchester City,5–2,Southampton,5,2
323,33,Fri Apr 23 2021,Arsenal,0–1,Everton,0,1
324,33,Sat Apr 24 2021,Liverpool,1–1,Newcastle Utd,1,1
325,33,Sat Apr 24 2021,West Ham,0–1,Chelsea,0,1
326,33,Sat Apr 24 2021,Sheffield Utd,1–0,Brighton,1,0
327,33,Sun Apr 25 2021,Wolves,0–4,Burnley,0,4
328,33,Sun Apr 25 2021,Leeds United,0–0,Manchester Utd,0,0
329,33,Sun Apr 25 2021,Aston Villa,2–2,West Brom,2,2
330,33,Mon Apr 26 2021,Leicester City,2–1,Crystal Palace,2,1
331,34,Fri Apr 30 2021,Southampton,1–1,Leicester City,1,1
332,34,Sat May 01 2021,Crystal Palace,0–2,Manchester City,0,2
333,34,Sat May 01 2021,Brighton,2–0,Leeds United,2,0
334,34,Sat May 01 2021,Chelsea,2–0,Fulham,2,0
335,34,Sat May 01 2021,Everton,1–2,Aston Villa,1,2
336,34,Sun May 02 2021,Newcastle Utd,0–2,Arsenal,0,2
337,34,Sun May 02 2021,Tottenham,4–0,Sheffield Utd,4,0
338,34,Mon May 03 2021,West Brom,1–1,Wolves,1,1
